place_id,name,cree_id,latitude,longitude,regular,premium,diesel,amenity,road,hamlet,city,county,state,ISO3166-2-lvl4,postcode
2039,"ESTACION DE SERVICIO CALAFIA, S.A. DE C.V.",PL/658/EXP/ES/2015,32.47641,-116.9214,22.49,24.99,21.99,Pemex,Boulevard de los Insurgentes,El Porvenir,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22223
2040,"LAS MEJORES ESTACIONES, S.A DE C.V",PL/902/EXP/ES/2015,20.3037,-99.74484,21.25,23.19,23.09,,MEX 45,,,Nopala de Villagrán,Hidalgo,MX-HID,
2041,"DIAZ GAS, S.A. DE C.V.",PL/760/EXP/ES/2015,31.71947,-106.4514,17.28,19.2,22.937577935115712,Pemex E02526,Avenida Licenciado Adolfo López Mateos,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,94158
2042,"COMBU-EXPRESS, S.A. DE C.V.",PL/825/EXP/ES/2015,20.71413,-103.3042,21.79,24.39,23.54,Pemex,Anillo Periférico Norte Manuel Gómez Morín,,Guadalajara,,Jalisco,MX-JAL,44390
2043,"PETROMAX, S.A. DE C.V.",PL/585/EXP/ES/2015,26.03787,-98.29977,17.79,19.99,22.937577935115712,,,,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2044,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/842/EXP/ES/2015,32.51342,-117.0715,22.29,24.99,22.937577935115712,Chevron,Calle Amsterdam,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22523
2045,MULTISERVICIOS LA PILARICA SA DE CV ,PL/371/EXP/ES/2015,25.7558,-108.9685,22.91,24.07,25.35,,Libramiento Topolobampo,,,Ahome,Sinaloa,MX-SIN,81260
2046,"PETROMAX, S.A. DE C.V.",PL/439/EXP/ES/2015,25.77202,-100.2918,22.99,25.39,23.29,Petro Seven,Carretera a Colombia,,General Escobedo,General Escobedo,Nuevo León,MX-NLE,66059
2047,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/860/EXP/ES/2015,31.86546,-116.6079,21.39,23.99,22.29,,Avenida Reforma,,Ensenada,Municipio de Ensenada,Baja California,MX-BCN,22880
2048,"ESTACION PIRU, S.A. DE C.V.",PL/897/EXP/ES/2015,32.31202,-117.0457,21.33,23.29,22.937577935115712,Pemex,Boulevard Popotla,,,Municipio de Playas de Rosarito,Baja California,MX-BCN,22700
2049,"PETROMAX, S.A. DE C.V.",PL/561/EXP/ES/2015,25.65562,-100.184,22.69,25.39,23.29,Petro Seven,Avenida Maestro Israel Cavazos Garza,,Guadalupe,Guadalupe,Nuevo León,MX-NLE,67193
2050,AUTOSERVICIO BERLANGA S.A. DE C.V.,PL/797/EXP/ES/2015,26.92554,-101.4189,22.9,24.49,22.937577935115712,Pemex,Boulevard Harold R. Pape,,Monclova,Monclova,Coahuila,MX-COA,25700
2051,"PETROMAX, S.A. DE C.V.",PL/583/EXP/ES/2015,25.83842,-97.44485,18.69,16.6,22.99,,Avenida Lauro Villar,,Matamoros,Municipio de Matamoros,Tamaulipas,MX-TAM,87450
2052,"GRUPO OCTANO, S.A. DE C.V.",PL/366/EXP/ES/2015,21.4739,-105.1947,22.99,23.37142058923129,23.89,Pemex,Carretera San Blas-Santa Cruz,,,San Blas,Nayarit,MX-NAY,63778
2053,"CIRCULO DOS, S.A. DE C.V.",PL/635/EXP/ES/2015,32.5279,-117.0271,22.29,24.99,22.937577935115712,Chevron,Boulevard General Rodolfo Sánchez Taboada,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22000
2054,"Servicio Sevilla, S.A. de C.V.",PL/868/EXP/ES/2015,19.58616,-99.1973,22.39,24.49,22.937577935115712,,Avenida Via Gustavo Baz,,Tlalnepantla,Tlalnepantla de Baz,Estado de México,MX-MEX,54764
2055,"PETROMAX, S.A. DE C.V.",PL/558/EXP/ES/2015,25.6788,-100.2365,22.49,25.39,22.937577935115712,Pemex,Agua Blanca,,Guadalupe,Guadalupe,Nuevo León,MX-NLE,67150
2056,"GASOLINERA HUITEPEC, S.A. DE C.V.",PL/887/EXP/ES/2015,16.73187,-92.65437,21.73,23.4,22.94,,Boulevard Juan Sabines,,San Cristóbal de las Casas,San Cristóbal de las Casas,Chiapas,MX-CHP,29200
2057,"PETROMAX, S.A. DE C.V.",PL/454/EXP/ES/2015,26.0139,-98.20425,17.79,19.99,22.937577935115712,PEMEX,Carretera Reynosa-Ciudad Río Bravo,,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2058,"ENERGIA Y SERVICIOS COORDINADOS, S.A. DE C.V.",PL/890/EXP/ES/2015,24.02956,-104.6217,21.99,24.29,23.79,,Predio de Los Arroyos,,Durango,Municipio de Durango,Durango,MX-DUR,34287
2059,SERVICIO SIERRA DE ARTEAGA SA DE CV,PL/756/EXP/ES/2015,25.57358,-100.9057,23.18,25.28,23.85,,Boulevard Ramos Arizpe,,,Ramos Arizpe,Coahuila,MX-COA,
2060,COMBUSTIBLES Y LUBRICANTES ATENAS SA DE CV,PL/795/EXP/ES/2015,28.73367,-106.1008,21.99,23.99,24.5,Pemex,Calle Vialidad Los Nogales,,Chihuahua,Municipio de Chihuahua,Chihuahua,MX-CHH,31137
2061,"GRUPO OCTANO, S.A. DE C.V.",PL/505/EXP/ES/2015,19.77838,-103.9754,22.44,23.59,23.34,,,,,Tonaya,Jalisco,MX-JAL,48760
2062,Becktrop Operadora SA de CV,PL/708/EXP/ES/2015,32.45102,-117.0249,21.39,23.99,21.99,Akrontech,Carretera Tijuana-Rosarito,,,Municipio de Tijuana,Baja California,MX-BCN,22670
2063,YLIGARZA S.A. DE C.V.,PL/562/EXP/ES/2015,25.73174,-100.2726,21.95,25.15,22.937577935115712,Gulf,Avenida Diego Díaz de Berlanga,,San Nicolás de los Garza,San Nicolás de los Garza,Nuevo León,MX-NLE,66443
2064,"ESTACION LA VICTORIA, S.A. DE C.V.",PL/636/EXP/ES/2015,32.53171,-117.0466,22.29,24.99,22.937577935115712,Chevron,Calle Salvador Díaz Mirón,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22050
2065,"PETROMAX, S.A. DE C.V.",PL/516/EXP/ES/2015,25.68592,-100.4652,22.59,25.39,22.937577935115712,,Carretera Saltillo-Monterrey,,,Santa Catarina,Nuevo León,MX-NLE,66360
2066,"ESTACION LA VICTORIA, S.A. DE C.V.",PL/638/EXP/ES/2015,32.51045,-117.0226,20.29,24.99,22.937577935115712,Chevron,Boulevard Cuauhtémoc Sur,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22045
2067,"PETROMAX, S.A. DE C.V.",PL/538/EXP/ES/2015,25.66026,-100.1466,22.49,25.39,22.937577935115712,Petro Seven,Avenida Coahuila,,,Guadalupe,Nuevo León,MX-NLE,67255
2068,"PETROMAX, S.A. DE C.V.",PL/619/EXP/ES/2015,25.44151,-100.9274,22.39,24.39,22.937577935115712,,Boulevard Doctor Jesús Valdez Sánchez,,Saltillo,Saltillo,Coahuila,MX-COA,25297
2069,"PETROMAX, S.A. DE C.V.",PL/443/EXP/ES/2015,26.06297,-98.32712,17.79,19.99,22.937577935115712,Coco Bongo,Calle Central,,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2070,RAMCAL SA DE CV,PL/689/EXP/ES/2015,19.03549,-104.2109,21.49,23.39,23.18,,Carretera Libre Colima - Manzanillo,Nuevo Cuyutlán,,Manzanillo,Colima,MX-COL,28880
2071,"Gasomac, S.A. de C.V.",PL/650/EXP/ES/2015,19.3231,-99.13844,21.89,23.89,22.39,Pemex,Calzada de Tlalpan,,,,Ciudad de México,MX-CMX,
2072,"Autoconsumo los Pinos, S.A. de C.V. ",PL/866/EXP/ES/2015,19.30205,-99.16505,21.99,23.99,22.937577935115712,Pemex,Boulevard Adolfo Ruiz Cortines,,,,Ciudad de México,MX-CMX,
2073,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/380/EXP/ES/2015,25.77298,-109.0001,22.95,24.11,22.937577935115712,,Calle Santos Degollado,,Los Mochis,Ahome,Sinaloa,MX-SIN,81293
2074,servicios energeticos plaza industrial sa de cv ,PL/764/EXP/ES/2015,25.2563,-101.1169,22.69,24.49,23.29,,COAH 105,,,Saltillo,Coahuila,MX-COA,25300
2075,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",PL/851/EXP/ES/2015,22.12339,-102.2834,22.35,24.35,23.09,,Supercarretera Zacatecas-Aguascalientes,,,Pabellón de Arteaga,Aguascalientes,MX-AGU,20666
2076,OLEUM GAS S.A. DE C.V.,PL/754/EXP/ES/2015,16.73384,-93.09296,20.75,22.79,22.85,Pemex,Libramiento Sur Poniente,,Tuxtla Gutiérrez,Tuxtla Gutiérrez,Chiapas,MX-CHP,29019
2077,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/397/EXP/ES/2015,25.96616,-109.2961,22.65,23.37142058923129,25.35,,Calle Ignacio Zaragoza,,,Ahome,Sinaloa,MX-SIN,
2078,"Gasolinería Cid, S.A. de C.V.",PL/823/EXP/ES/2015,19.64046,-99.36308,21.49,23.82,22.35,,Via Corta a Morelia,,,Nicolás Romero,Estado de México,MX-MEX,54435
2079,"Gasolinería Perseo, S.A. de C.V.",PL/627/EXP/ES/2015,19.74912,-99.11606,21.29,23.59,22.79,,Circuito Exterior Mexiquense,,,Nextlalpan,Estado de México,MX-MEX,05820
2080,MULTISERVICIOS LA PILARICA SA DE CV ,PL/408/EXP/ES/2015,25.9744,-109.2856,22.85,23.95,24.46,,SIN 112,,,Ahome,Sinaloa,MX-SIN,
2081,"PETROMAX, S.A. DE C.V.",PL/580/EXP/ES/2015,26.06025,-98.35571,17.79,19.99,22.937577935115712,Petro,Boulevard Miguel Hidalgo y Costilla,,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2082,"PETROMAX, S.A. DE C.V.",PL/489/EXP/ES/2015,25.7805,-100.1759,23.29,25.39,22.937577935115712,,Boulevard Arco Vial,,Apodaca,Apodaca,Nuevo León,MX-NLE,66600
2083,"PETROMAX, S.A. DE C.V.",PL/465/EXP/ES/2015,20.73139,-103.4519,22.19,24.29,22.937577935115712,,Avenida General Ramón Corona,,Zapopan,Zapopan,Jalisco,MX-JAL,45201
2084,"SERVICIO AVENIDA, S.A. DE C.V.",PL/724/EXP/ES/2015,21.89668,-102.3053,21.45,24.05,22.99,,Avenida Convención de 1914 Norte,,Aguascalientes,Municipio de Aguascalientes,Aguascalientes,MX-AGU,20020
2085,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",PL/829/EXP/ES/2015,21.09879,-101.6677,22.79,24.99,23.15,Chevron,Boulevard Juan José Torres Landa,,León,León,Guanajuato,MX-GUA,37480
2086,"PETROMAX, S.A. DE C.V.",PL/584/EXP/ES/2015,32.63511,-115.3865,21.49,23.69,21.89,Pemex,Calle Novena,,Mexicali,,Baja California,MX-BCN,21000
2087,"ESTACION DE SERVICIO PITS, S. DE R.L. DE C.V.",PL/710/EXP/ES/2015,32.49946,-116.7158,21.39,24.49,21.99,Pemex,Carretera Libre Tijuana-Tecate,,,Municipio de Tijuana,Baja California,MX-BCN,22110
2088,GRUPO GOCALVI SA DE CV,PL/858/EXP/ES/2015,31.5649,-106.3973,16.99,19.39,21.19,Peme E09981,Calle Hacienda Oriente,,,Municipio de Juárez,Chihuahua,MX-CHH,32696
2089,"Socombumex, S.A. de C.V.",PL/690/EXP/ES/2015,19.07791,-104.288,21.69,23.99,23.29,,Calle Tiburón,,Manzanillo,Manzanillo,Colima,MX-COL,28200
2090,"Gasolinería Segovia, S.A. de C.V.",PL/699/EXP/ES/2015,19.60755,-98.99508,21.69,23.69,22.99,,Avenida de las Bombas,,,Ecatepec de Morelos,Estado de México,MX-MEX,55066
2091,SERVICIO LOS OLIVOS S.A. DE C.V.(E4394),PL/786/EXP/ES/2015,31.7838,-116.5917,20.45,22.59,21.82,pemex,Avenida Reforma,,Ensenada,Municipio de Ensenada,Baja California,MX-BCN,22895
2092,MULTISERVICIOS LA PILARICA SA DE CV ,PL/402/EXP/ES/2015,25.80147,-108.9855,22.92,24.07,25.35,,Boulevard Juan de Dios Bátiz,,Los Mochis,Ahome,Sinaloa,MX-SIN,81259
2093,"GRUPO OCTANO, S.A. DE C.V.",PL/405/EXP/ES/2015,19.79169,-100.9704,21.88,23.66,22.98,,Atlacomulco - Morelia,,,Indaparapeo,Michoacán,MX-MIC,
2094,"PETROMAX, S.A. DE C.V.",PL/590/EXP/ES/2015,25.82625,-100.2963,23.29,25.39,23.09,,Evangelina Caballero,,General Escobedo,General Escobedo,Nuevo León,MX-NLE,66053
2095,"GRUPO OCTANO, S.A. DE C.V.",PL/417/EXP/ES/2015,21.52222,-104.8868,21.99,24.59,24.19,PEMEX,Calle Francisco Márquez,,Tepic,Municipio de Tepic,Nayarit,MX-NAY,63030
2096,"Inmobiliaria Corredor Tultitlán, S.A. de C.V. ",PL/820/EXP/ES/2015,19.67871,-99.10838,21.99,24.49,23.19,,Avenida Constitución De 1857,,,Tultitlán,Estado de México,MX-MEX,549131
2097,"PETROMAX, S.A. DE C.V.",PL/601/EXP/ES/2015,32.60843,-115.4722,21.49,23.49,21.99,Pemex,Calzada Héctor Terán Terán,,Mexicali,,Baja California,MX-BCN,21000
2098,"PETROMAX, S.A. DE C.V.",PL/553/EXP/ES/2015,19.63609,-99.10677,21.99,24.29,22.937577935115712,Mobil,Cerrada López Portillo,,,,Estado de México,MX-MEX,55706
2099,"GRUPO OCTANO, S.A. DE C.V.",PL/373/EXP/ES/2015,21.47011,-104.8489,22.19,23.99,23.29,PEMEX,Avenida Tecnológico,,Tepic,Municipio de Tepic,Nayarit,MX-NAY,63193
2100,"PETROMAX, S.A. DE C.V.",PL/451/EXP/ES/2015,25.73217,-100.2104,23.29,25.39,22.937577935115712,,Avenida Miguel Alemán,,San Nicolás de los Garza,San Nicolás de los Garza,Nuevo León,MX-NLE,66478
2101,"CRUCERO LAS GOLONDRINAS,SA DE CV",PL/892/EXP/ES/2015,19.14014,-103.7721,21.35,23.35,23.0,,Autopista Colima - Manzanillo,,,Municipio de Colima,Colima,MX-COL,28640
2102,Becktrop Operadora SA de CV,PL/707/EXP/ES/2015,32.49127,-116.953,21.69,24.49,22.09,Universidad del Desarrollo Profesional S.C. (Unidad Tijuana),Boulevard Gustavo Díaz Ordaz,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22115
2103,"PETROMAX, S.A. DE C.V.",PL/594/EXP/ES/2015,25.70155,-100.1302,22.49,24.99,23.29,,Carretera a Dulces Nombres,,Apodaca,Apodaca,Nuevo León,MX-NLE,66647
2104,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/660/EXP/ES/2015,32.51104,-116.9663,21.59,24.99,22.09,Chevron,Calle Estado 29,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22104
2105,"GRUPO OCTANO, S.A. DE C.V.",PL/365/EXP/ES/2015,21.54249,-105.2828,22.99,23.99,23.89,Bocenas Internet,Avenida Juarez,,,San Blas,Nayarit,MX-NAY,63774
2106,ESTACION DE SERVICIO AUTOMOTRIZ DEL NORTE SA DE CV,PL/845/EXP/ES/2015,21.91625,-102.2924,21.49,23.67,22.98,Pemex,Avenida Aguascalientes Norte,,Aguascalientes,Municipio de Aguascalientes,Aguascalientes,MX-AGU,20350
2107,"SERVICIO CIBOLA, S.A. DE C.V.",PL/685/EXP/ES/2015,29.30929,-100.9351,19.39,21.29,23.49,Pemex,Calle Ignacio Allende,,Ciudad Acuña,Municipio de Acuña,Coahuila,MX-COA,26200
2108,"PETROMAX, S.A. DE C.V.",PL/577/EXP/ES/2015,25.53419,-103.3228,21.59,24.69,22.937577935115712,,,,Torreón,Torreón,Coahuila,MX-COA,27275
2109,MULTISERVICIOS SIGAS S.A. DE C.V.,PL/655/EXP/ES/2015,22.14957,-102.4106,22.45,24.22,23.91,,Calle Gabriel López,,,San José de Gracia,Aguascalientes,MX-AGU,20576
2110,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/374/EXP/ES/2015,25.73669,-109.0138,22.95,24.11,25.35,,SIN 124,,Los Mochis,Ahome,Sinaloa,MX-SIN,81293
2111,"PETROMAX, S.A. DE C.V.",PL/592/EXP/ES/2015,26.04917,-98.38633,17.79,19.99,22.937577935115712,Pemex,Boulevard Miguel Hidalgo y Costilla,Residencial Loma Bonita,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2112,"Servicio Vega Atizapan, S.A. de C.V.",PL/879/EXP/ES/2015,19.55827,-99.25086,21.99,24.39,23.79,Pemex,Avenida Adolfo Ruiz Cortinez,,Ciudad Adolfo Lopez Mateos,Atizapán de Zaragoza,Estado de México,MX-MEX,52970
2113,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/686/EXP/ES/2015,32.50455,-116.977,20.79,24.99,22.09,Chevron,Boulevard Gustavo Díaz Ordaz,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22100
2114,"PETROMAX, S.A. DE C.V.",PL/571/EXP/ES/2015,25.72328,-100.1915,21.99,25.39,22.937577935115712,,Los Amoles,,Guadalupe,Guadalupe,Nuevo León,MX-NLE,66634
2115,"ESTACION RAMOS, S.A. DE C.V.",PL/812/EXP/ES/2015,25.52635,-100.941,21.45,23.05,22.937577935115712,,Boulevard Licenciado Gustavo Díaz Ordaz,,,Ramos Arizpe,Coahuila,MX-COA,25900
2116,"PETROMAX, S.A. DE C.V.",PL/477/EXP/ES/2015,25.85833,-97.53786,18.69,21.29,22.937577935115712,,Calle Monsanto,,Matamoros,Municipio de Matamoros,Tamaulipas,MX-TAM,87351
2117,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",PL/841/EXP/ES/2015,21.12003,-101.6691,22.79,25.49,22.937577935115712,Oxxo Gas,Boulevard Adolfo López Mateos,,León,León,Guanajuato,MX-GUA,37260
2118,"GRUPO OCTANO, S.A. DE C.V.",PL/497/EXP/ES/2015,19.90187,-100.7924,22.28,23.84,23.14,PEMEX,Autopista México - Morelia,,,Zinapécuaro,Michoacán,MX-MIC,
2119,"PETROMAX, S.A. DE C.V.",PL/517/EXP/ES/2015,25.64484,-100.1696,22.29,24.99,22.937577935115712,,Avenida Coahuila,,,Juárez,Nuevo León,MX-NLE,67193
2120,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",PL/833/EXP/ES/2015,31.27435,-110.93,17.79,22.09,22.937577935115712,,Avenida de los Nogales,,Heroica Nogales,Municipio de Nogales,Sonora,MX-SON,84063
2121,"PETROMAX, S.A. DE C.V.",PL/427/EXP/ES/2015,25.67366,-100.3682,23.29,25.39,22.937577935115712,Petro 7,Boulevard Licenciado Gustavo Díaz Ordaz,,Monterrey,Monterrey,Nuevo León,MX-NLE,64650
2122,"PETROMAX, S.A. DE C.V.",PL/492/EXP/ES/2015,25.71746,-100.1685,23.29,25.39,22.937577935115712,,Carretera San Miguel,,Apodaca,Apodaca,Nuevo León,MX-NLE,66648
2123,SERVICIO DEL CENTRO HIDALGO SA DE CV ,PL/774/EXP/ES/2015,20.94723,-101.4349,21.94,24.44,22.98,,Calzada Miguel Hidalgo,,Silao,Silao de la Victoria,Guanajuato,MX-GUA,36122
2124,"SERV.EL TRIANGULO DEL REFUGIO,S.DER.L.DEC.V.",PL/639/EXP/ES/2015,32.53289,-117.0602,21.19,24.99,22.937577935115712,Chevron,Calle Benito Juárez,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,4110
2125,AMC COMBUSTIBLES Y LUBRICANTES S.A. DE C.V.,PL/779/EXP/ES/2015,26.91485,-101.4206,22.9,24.69,24.99,,Calle Monclova,,Monclova,Monclova,Coahuila,MX-COA,25700
2126,"SERVICIO RAMA, S.A. DE C.V.",PL/796/EXP/ES/2015,28.70405,-100.5448,17.89,19.69,21.39,,Calle Bordo de Defensa Norte,,Piedras Negras,Municipio de Piedras Negras,Coahuila,MX-COA,26085
2127,"PETROMAX, S.A. DE C.V.",PL/448/EXP/ES/2015,25.81873,-100.2944,23.29,25.39,22.937577935115712,7-Eleven,Calle Monterrey,,General Escobedo,General Escobedo,Nuevo León,MX-NLE,66053
2128,Servicio Ravello S.A de C.V.,PL/792/EXP/ES/2015,32.49886,-116.917,20.15,22.79,21.87,,Avenida Paseo del Guaycura,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22216
2129,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/849/EXP/ES/2015,32.63718,-115.3992,21.59,23.99,22.75,Colegio Bilingi�e Contemporaneo,Avenida Venustiano Carranza,,Mexicali,,Baja California,MX-BCN,21259
2130,"PETROMAX, S.A. DE C.V.",PL/490/EXP/ES/2015,28.65146,-106.0694,21.49,24.39,22.79,,Avenida de las Industrias,,Chihuahua,Municipio de Chihuahua,Chihuahua,MX-CHH,31350
2131,"INMOBILIARIA ANADECA, S.A. DE C.V.",PL/680/EXP/ES/2015,32.51353,-117.1202,22.29,24.49,22.937577935115712,Chevron,Avenida Paseo a Playas de Tijuana,,,Municipio de Tijuana,Baja California,MX-BCN,22506
2132,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/413/EXP/ES/2015,25.81053,-109.0028,22.95,24.11,25.35,,,,Los Mochis,Ahome,Sinaloa,MX-SIN,81248
2133,MARA ESTACION DE SERVICIOS SA DE CV,PL/766/EXP/ES/2015,21.89202,-102.2631,21.32,23.14,22.937577935115712,,Aguascalientes Oriente,,Aguascalientes,Municipio de Aguascalientes,Aguascalientes,MX-AGU,20190
2134,"GRUPO OCTANO, S.A. DE C.V.",PL/617/EXP/ES/2015,21.49442,-104.8968,22.19,24.59,22.937577935115712,PEMEX,Boulevard Tepic - Xalisco,,Tepic,Municipio de Tepic,Nayarit,MX-NAY,63158
2135,SERVICIO OROZCO SA DE CV,PL/713/EXP/ES/2015,23.82137,-99.12276,21.49,23.39,23.39,,Carretera Monterrey-Ciudad Victoria,Aquiles Serdán,Ciudad Victoria,Victoria,Tamaulipas,MX-TAM,87027
2136,Servicio Puerta de Hierro S.A. de C.V.,PL/770/EXP/ES/2015,19.25796,-103.7087,21.42,23.39,22.89,PEMEX,Avenida Ignacio Sandoval,,Colima,Municipio de Colima,Colima,MX-COL,28010
2137,"Gasolinería Real Madeira, S.A. de C.V.",PL/835/EXP/ES/2015,19.57863,-99.02091,21.69,23.49,22.99,Pemex,Avenida Insurgentes,,,Ecatepec de Morelos,Estado de México,MX-MEX,55076
2138,"PETROMAX, S.A. DE C.V.",PL/476/EXP/ES/2015,25.43487,-100.9133,22.39,24.39,22.937577935115712,7-Eleven,Calle Los Fundadores,,Saltillo,Saltillo,Coahuila,MX-COA,25297
2139,"PETROMAX, S.A. DE C.V.",PL/483/EXP/ES/2015,26.06835,-98.31638,17.79,19.99,22.937577935115712,,Callejón León Felipe,,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2140,"Inmobiliaria Socor, S.A. de C.V.",PL/630/EXP/ES/2015,19.71715,-99.13939,21.69,23.99,22.99,,,,,Melchor Ocampo,Estado de México,MX-MEX,54880
2141,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/394/EXP/ES/2015,32.59509,-115.5029,20.19,21.74,22.937577935115712,,Calle Manuel Gómez Morín,,Mexicali,,Baja California,MX-BCN,21000
2142,"Gasolinería Itálica, S.A. de C.V.",PL/632/EXP/ES/2015,19.53231,-99.2491,21.99,24.39,23.89,Pemex,Boulevard Valle Escondido,,Ciudad Adolfo Lopez Mateos,Atizapán de Zaragoza,Estado de México,MX-MEX,54054
2143,"Super Servicio Cumbre, S.A. de C.V.",PL/853/EXP/ES/2015,18.90457,-99.21558,20.99,22.99,22.59,PEMEX,Libramiento Cuernavaca,,Cuernavaca,Cuernavaca,Morelos,MX-MOR,62460
2144,ESTACIONES DE SERVICIO CAMINOS DE GUANAJUATO SA CV,PL/893/EXP/ES/2015,21.16531,-100.9016,21.29,24.59,22.99,Pemex,Calzada de los Héroes,,,Dolores Hidalgo Cuna de la Independencia Nacional,Guanajuato,MX-GUA,37804
2145,"PETROMAX, S.A. DE C.V.",PL/519/EXP/ES/2015,25.47064,-100.995,22.39,24.39,22.99,,Calle Gama,,Saltillo,Saltillo,Coahuila,MX-COA,25250
2146,"PETROMAX, S.A. DE C.V.",PL/523/EXP/ES/2015,25.77217,-100.3883,21.39,24.99,22.937577935115712,,Calle Borrajas,,Monterrey,Monterrey,Nuevo León,MX-NLE,64100
2147,"PETROMAX, S.A. DE C.V.",PL/563/EXP/ES/2015,25.71573,-100.2403,22.29,25.39,22.937577935115712,Petro Seven,Avenida Juan Montemayor,,San Nicolás de los Garza,San Nicolás de los Garza,Nuevo León,MX-NLE,66490
2148,"PETROMAX, S.A. DE C.V.",PL/464/EXP/ES/2015,25.28464,-100.0302,22.49,25.39,22.937577935115712,Gasolinera,Carretera Nacional,Lazarillos de Abajo,,Allende,Nuevo León,MX-NLE,67350
2149,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",PL/834/EXP/ES/2015,31.28525,-110.9418,18.29,22.09,22.79,,Periférico Luis Donaldo Colosio Murrieta,,Heroica Nogales,Municipio de Nogales,Sonora,MX-SON,84066
2150,"PETROMAX, S.A. DE C.V.",PL/467/EXP/ES/2015,26.04565,-98.39253,17.79,19.99,22.937577935115712,Pemex,Boulevard Miguel Hidalgo y Costilla,Residencial Loma Bonita,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2151,"PETROMAX, S.A. DE C.V.",PL/485/EXP/ES/2015,25.48239,-100.9813,22.39,24.39,22.99,,Boulevard Zincamex,,Saltillo,Saltillo,Coahuila,MX-COA,25210
2152,"PETROMAX, S.A. DE C.V.",PL/494/EXP/ES/2015,25.71853,-100.2887,22.49,25.39,22.937577935115712,Petro 7,Avenida Nogalar Sur,,San Nicolás de los Garza,San Nicolás de los Garza,Nuevo León,MX-NLE,64510
2153,"Inmobiliaria RAVS, S.A. de C.V.",PL/695/EXP/ES/2015,19.37504,-99.08196,22.29,23.99,23.59,,Circuito Abarrotes y Víveres,,,,Ciudad de México,MX-CMX,09040
2154,GASOLINA Y LUBRICANTES MALPASO SA DE CV ,PL/725/EXP/ES/2015,17.18763,-93.56612,21.55,23.25,23.29,Servicio Malpaso,Carretera Tecpatan - Malpaso,,,Tecpatán,Chiapas,MX-CHP,29600
2155,"SERVICIO EFIGAS, S. DE R.L. DE C.V.",PL/678/EXP/ES/2015,32.52866,-117.0082,22.29,24.99,22.937577935115712,Chevron,Calzada Defensores de Baja California,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22406
2156,SERVICIOS ENERGETICOS DEL PACIFICO SA DE CV,PL/727/EXP/ES/2015,19.11446,-104.3236,21.18,22.88,22.937577935115712,,,,Manzanillo,Manzanillo,Colima,MX-COL,28200
2157,"Gasolinería México - Ajusco 1, S.A. de C.V.",PL/821/EXP/ES/2015,19.2289,-99.19692,21.69,23.69,22.69,Pemex CorpoGas San Miguel Ajusco,Calle Miguel Hidalgo,,,,Ciudad de México,MX-CMX,14700
2158,"GRUPO OCTANO, S.A. DE C.V.",PL/421/EXP/ES/2015,20.65418,-105.2224,22.39,23.89,23.49,,20 de Noviembre,,Puerto Vallarta,Puerto Vallarta,Jalisco,MX-JAL,48300
2159,"GRUPO OCTANO, S.A. DE C.V.",PL/501/EXP/ES/2015,20.20225,-101.1592,21.88,23.84,22.98,,Carretera Uriangato-Valle de Santiago,,,Yuriria,Guanajuato,MX-GUA,38946
