place_id,name,cree_id,latitude,longitude,regular,premium,diesel,amenity,road,hamlet,city,county,state,ISO3166-2-lvl4,postcode
25495,"BESIKTAS, S.A. DE C.V.",PL/21877/EXP/ES/2018,24.75514,-107.4056,22.04,24.09,26.49,,Calzada de Las Torres,,Culiacán,Culiacán,Sinaloa,MX-SIN,80194
25497,"COMBUSTIBLES DE ORIENTE, S.A. DE C.V. ",PL/21878/EXP/ES/2018,25.94541,-97.77333,17.99,23.37142058923129,23.99,,Calle Miguel Hidalgo y Costilla,,,Municipio de Matamoros,Tamaulipas,MX-TAM,
25498,"Costco Gas, Sociedad Anónima de Capital Variable",PL/21879/EXP/ES/2018,19.03338,-98.23837,20.25,22.55,22.937577935115712,,Parque Lineal,,Municipio de Puebla,,Puebla,MX-PUE,72197
25499,CRISPIN CARREON GARCIA,PL/21880/EXP/ES/2018,20.46071,-97.23654,22.29,23.49,23.69,,Carretera Papantla - Gutierez Zamora,,,Gutiérrez Zamora,Veracruz,MX-VER,93530
25500,ESTACION DE SERVICIOS SOLEDAD S.A. DE C.V.,PL/21881/EXP/ES/2018,23.33547,-102.9843,21.45,23.5,22.8,,Entrada San Ignacio-San Gabriel,,,Fresnillo,Zacatecas,MX-ZAC,99189
25501,"ESTACIÓN EL CRUCERO, S.A DE C.V",PL/21882/EXP/ES/2018,22.14958,-102.273,21.29,23.99,22.99,,Calle General Francisco Villa,,,Pabellón de Arteaga,Aguascalientes,MX-AGU,20674
25502,"ESTACION GRUGAS, S. DE R.L. DE C.V.",PL/21883/EXP/ES/2018,32.40826,-116.923,21.89,24.99,21.69,,Corredor 2000 Tijuana-Rosarito,Rancho Casian,,Municipio de Tijuana,Baja California,MX-BCN,22165
25503,"Fomento Gasolinero, S.A. de C.V.",PL/21884/EXP/ES/2018,21.06984,-89.64447,21.99,23.29,23.79,,Calle 74,,Mérida,Mérida,Yucatán,MX-YUC,97115
25504,"GASADOL, S.A. DE C.V.",PL/21885/EXP/ES/2018,22.76655,-102.6027,20.85,22.95,22.15,,,,Municipio de Zacatecas,,Zacatecas,MX-ZAC,98087
25505,GRUPO DEL BUEN SUCESO SA DE CV,PL/21886/EXP/ES/2018,19.17188,-99.48685,20.37,22.39,22.07,,Calle Doctor Gustavo Baz,,,Atizapán,Estado de México,MX-MEX,52600
25506,JOSE ADRIAN MENDEZ VAZQUEZ,PL/21887/EXP/ES/2018,18.89935,-99.64307,22.19,24.25,23.86,,,,,Villa Guerrero,Estado de México,MX-MEX,51760.0
25507,MEGA GASOLINERAS S.A DE C.V,PL/21888/EXP/ES/2018,21.93916,-102.3418,21.09,24.99,22.19,,Avenida Paseo del Molino,,,Jesús María,Aguascalientes,MX-AGU,20983
25508,MEGA GASOLINERAS S.A DE C.V,PL/21889/EXP/ES/2018,21.83111,-102.2942,22.29,24.99,22.99,,Cerro Tlaloc,,Aguascalientes,Municipio de Aguascalientes,Aguascalientes,MX-AGU,20342
25509,MEGA GASOLINERAS S.A DE C.V,PL/21890/EXP/ES/2018,20.509,-100.9559,21.39,24.99,22.99,,Carretera Celaya-Cortazar,,,Cortazar,Guanajuato,MX-GUA,38496
25510,MEGA GASOLINERAS S.A DE C.V,PL/21891/EXP/ES/2018,21.16299,-100.905,21.29,24.99,22.99,,Granada,,,Dolores Hidalgo Cuna de la Independencia Nacional,Guanajuato,MX-GUA,37804
25511,MEGA GASOLINERAS S.A DE C.V,PL/21893/EXP/ES/2018,21.35107,-101.9301,20.99,22.09,21.49,,Calle Testerazo,,Lagos de Moreno,Lagos de Moreno,Jalisco,MX-JAL,47480
25514,Multiservicio La Villita S.A. de C.V.,PL/21894/EXP/ES/2018,22.77003,-102.5828,21.19,22.99,22.99,,Calzada Héroes de Chapultepec,,Municipio de Zacatecas,,Zacatecas,MX-ZAC,98053
25515,"PARADOR RIO SANTA CRUZ, S.A. DE C.V.",PL/21895/EXP/ES/2018,19.11706,-99.54811,20.99,22.99,22.79,,Carretera Tenango - La Marqueza,,,Tenango del Valle,Estado de México,MX-MEX,
25516,RED INTERGAS S. DE R.L. DE C.V.,PL/21896/EXP/ES/2018,21.91467,-102.3303,20.55,22.74,23.59,,Avenida Eugenio Garza Sada,,Aguascalientes,Municipio de Aguascalientes,Aguascalientes,MX-AGU,20329
25517,SERVICIO LOS VENADOS SA DE CV,PL/21897/EXP/ES/2018,24.11204,-110.3291,21.19,23.19,22.69,,Calle Santa Lucía,,La Paz,Municipio de La Paz,Baja California Sur,MX-BCS,23080
25518,SUPER SERVICIO ARDUALES S A DE C V,PL/21898/EXP/ES/2018,19.28023,-99.5383,20.44,22.57,22.39,,Calle Niños Héroes,,,San Mateo Atenco,Estado de México,MX-MEX,52105
25519,SERVICIOS INTEGRALES MARY SA DE CV,PL/21899/EXP/ES/2018,24.76273,-107.4307,21.69,22.99,24.49,,Felipe Ángeles,,Culiacán,Culiacán,Sinaloa,MX-SIN,80194
25520,VICTOR MANUEL VELAZQUEZ GARDUÑO,PL/21900/EXP/ES/2018,19.39356,-99.70947,21.69,24.19,22.75,,Toluca-Ixtlahuaca de Rayon,,,Toluca,Estado de México,MX-MEX,50295
25544,MEGA GASOLINERAS S.A DE C.V,PL/21892/EXP/ES/2018,20.39957,-101.1889,21.29,24.79,22.69,,Boulevard Revolución,,Valle de Santiago,Valle de Santiago,Guanajuato,MX-GUA,38403
25600,"CORPORACIÓN GASOLINERA MILLENIUM, S.A. DE C.V.",PL/21984/EXP/ES/2018,19.6089,-99.1768,22.59,24.39,22.937577935115712,,Boulevard Reforma,,Buenavista,Tultitlán,Estado de México,MX-MEX,54958
25601,Energia DG S de RL de CV,PL/21985/EXP/ES/2018,17.98221,-92.9349,20.79,22.69,22.29,BP,Avenida Paseo Usumacinta,,Villahermosa,Centro,Tabasco,MX-TAB,86080
25602,E.S.G.E.S. S.A DE C.V,PL/21986/EXP/ES/2018,18.60927,-90.7722,22.99,23.99,23.97,Pemex,Carretera Villahermosa-Francisco Escárcega,,,Escárcega,Campeche,MX-CAM,24350
25603,"ESTACION DE SERVICIO MM INTER DIAMANTE, SA DE CV",PL/21987/EXP/ES/2018,16.7428,-99.75156,21.430554062598798,23.37142058923129,22.937577935115712,,Boulevard Barra Vieja,,,Acapulco de Juárez,Guerrero,MX-GRO,39893
25604,FELIPE DARIO FRAGOSO LUNA,PL/21988/EXP/ES/2018,19.12615,-96.24154,20.5,22.65,22.4,,MEX 180,,,Municipio de Veracruz,Veracruz,MX-VER,94296
25605,GRUPO GASOLINERO ESTOL SA DE CV,PL/21989/EXP/ES/2018,19.80531,-90.27654,22.52,23.37142058923129,23.94,,Carretera Campeche-Chencollí,,,Municipio de Campeche,Campeche,MX-CAM,24022
25606,"PETROFIGUES EL SOL III, S.A. DE C.V.",PL/21990/EXP/ES/2018,20.6461,-100.4786,20.39,22.39,22.09,Pemex 13777,Prolongación Bernardo Quintana,,Santiago de Querétaro,Municipio de Querétaro,Querétaro,MX-QUE,76230
25607,"PETROMAX, S.A. DE C.V.",PL/21991/EXP/ES/2018,25.8129,-100.3797,23.29,25.39,23.09,Petro Seven,Carretera Libramiento Noroeste de Monterrey,,General Escobedo,General Escobedo,Nuevo León,MX-NLE,66062
25608,RIGOBERTO EQUIHUA GARCIA,PL/21992/EXP/ES/2018,19.09129,-102.4065,23.68,25.58,25.06,,Avenida Ocho de Diciembre,Rancho Nuevo,,Apatzingán,Michoacán,MX-MIC,60660
25609,SERVICIO GASOLINERO SANTA CRUZ DEL MONTE S.A. DE C.V.,PL/21993/EXP/ES/2018,19.76769,-99.22399,22.25,23.37142058923129,23.45,,Avenida Jilotepec,,,Tepotzotlán,Estado de México,MX-MEX,54660
25610,SERVICIOS SCDJ SI SA DE CV,PL/21994/EXP/ES/2018,20.51982,-103.3437,18.99,19.65,19.39,,Avenida Adolf B. Horn Jr.,,,Tlajomulco de Zuñiga,Jalisco,MX-JAL,45665
25667,"ASCHA GASOLINERA, S.A. DE C.V.",PL/21982/EXP/ES/2018,25.55591,-108.4743,21.99,24.38,24.98,,A Las Glorias,,Guasave,Guasave,Sinaloa,MX-SIN,81040
25668,COMBUSTIBLES Y LUBRICANTES ATENAS SA DE CV,PL/21983/EXP/ES/2018,28.5908,-106.1406,21.99,23.99,23.99,American School Chihuahua,Avenida Teofilo Borunda,,Chihuahua,Municipio de Chihuahua,Chihuahua,MX-CHH,31207
25679,"AC-JACARANDAS, S.A. DE C.V.",PL/22049/EXP/ES/2019,17.53802,-99.48512,23.62,24.62,24.62,,Ruta Oriente,,Chilpancingo,Chilpancingo de los Bravo,Guerrero,MX-GRO,39090
25680,AGUSTIN ROSARIO LOPEZ GOMEZ,PL/22050/EXP/ES/2019,22.22325,-102.3087,21.2,23.0,22.35,,,,,Rincón de Romos,Aguascalientes,MX-AGU,20405
25681,Almacenes Distribuidores de la Frontera SA de CV,PL/22051/EXP/ES/2019,31.66592,-106.382,16.99,19.15,22.937577935115712,,Prolongación Camino Ortiz Rubio,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,32563
25682,"ALPEZ GAS, S.A. DE C.V. ",PL/22052/EXP/ES/2019,20.65006,-103.3361,21.430554062598798,23.37142058923129,22.937577935115712,,Avenida González Gallo,,Guadalajara,,Jalisco,MX-JAL,76175
25683,"COMBUSTIBLES Y DERIVADOS JM, S.A. DE C.V.",PL/22053/EXP/ES/2019,18.14449,-94.51263,20.39,22.09,22.937577935115712,Hospilal De Maternidad,Calle Avenida Doctor José Lemarroy Carreón,,Coatzacoalcos,,Veracruz,MX-VER,96536
25684,"COMBUSTIBLES Y LUBRICANTES GARVA, S. DE R.L. DE C.V.",PL/22054/EXP/ES/2019,32.35967,-117.0587,20.59,23.19,22.19,,Boulevard Benito Juárez García,,Rosarito,Municipio de Playas de Rosarito,Baja California,MX-BCN,22700
25685,"GASOLINERA LISER, S.A. DE C.V.",PL/22055/EXP/ES/2019,21.45141,-104.8987,21.89,24.79,23.39,Shell,Hidalgo,,,Xalisco,Nayarit,MX-NAY,63784
25686,"GASOLINERIA RM, S.A. DE C.V.",PL/22056/EXP/ES/2019,19.15322,-96.11412,21.09,22.79,22.79,,Calle Invernadero,,,Boca del Río,Veracruz,MX-VER,94299
25687,GASOLINERA 7 LEGUAS S.A. DE C.V.,PL/22057/EXP/ES/2019,27.00622,-105.331,22.35,23.9,23.9,,Carretera Hidalgo del Parral-Jiménez,,,Allende,Chihuahua,MX-CHH,33890
25688,SUPER SERVICIO ALVAREI SA DE CV,PL/22060/EXP/ES/2019,20.42277,-100.0497,20.39,22.49,22.937577935115712,G500,Supercarretera México-Queretaro,,,San Juan del Río,Querétaro,MX-QUE,76815
25689,"GRUPO ENERGETICO ITURRALDE, S.A. DE C.V.",PL/22058/EXP/ES/2019,21.96362,-102.2937,21.39,23.8,24.99,,Calle Paseos de Venaderos,Frac. Paso Blanco,,Jesús María,Aguascalientes,MX-AGU,20911
25690,GRUPO GASOLINERO MAYALI S.A. DE C.V.,PL/22059/EXP/ES/2019,16.98491,-96.74737,21.99,23.45,23.45,,,,,San Raymundo Jalpan,Oaxaca,MX-OAX,71310
25691,Los Huitzaches S.C. de R.L.,PL/22061/EXP/ES/2019,16.53888,-96.97968,22.3,23.95,23.9,,Carretera Oaxaca - Puerto Escondido,,,San Ildefonso Sola,Oaxaca,MX-OAX,
25692,MEGA GASOLINERAS S.A DE C.V,PL/22062/EXP/ES/2019,21.35697,-101.8972,21.59,24.99,22.99,,,,Lagos de Moreno,Lagos de Moreno,Jalisco,MX-JAL,47450
25693,NICOLAS RUIZ ROSET,PL/22063/EXP/ES/2019,17.99495,-94.56393,19.99,21.95,22.2,,Avenida Transistmica,,Minatitlán,Minatitlán,Veracruz,MX-VER,96700
