place_id,amenity,road,hamlet,city,county,state,ISO3166-2-lvl4,postcode
2039,Pemex,Boulevard de los Insurgentes,El Porvenir,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22223
2040,,MEX 45,,,Nopala de Villagrán,Hidalgo,MX-HID,
2041,Pemex E02526,Avenida Licenciado Adolfo López Mateos,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,94158
2042,Pemex,Anillo Periférico Norte Manuel Gómez Morín,,Guadalajara,,Jalisco,MX-JAL,44390
2043,,,,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2044,Chevron,Calle Amsterdam,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22523
2045,,Libramiento Topolobampo,,,Ahome,Sinaloa,MX-SIN,81260
2046,Petro Seven,Carretera a Colombia,,General Escobedo,General Escobedo,Nuevo León,MX-NLE,66059
2047,,Avenida Reforma,,Ensenada,Municipio de Ensenada,Baja California,MX-BCN,22880
2048,Pemex,Boulevard Popotla,,,Municipio de Playas de Rosarito,Baja California,MX-BCN,22700
2049,Petro Seven,Avenida Maestro Israel Cavazos Garza,,Guadalupe,Guadalupe,Nuevo León,MX-NLE,67193
2050,Pemex,Boulevard Harold R. Pape,,Monclova,Monclova,Coahuila,MX-COA,25700
2051,,Avenida Lauro Villar,,Matamoros,Municipio de Matamoros,Tamaulipas,MX-TAM,87450
2052,Pemex,Carretera San Blas-Santa Cruz,,,San Blas,Nayarit,MX-NAY,63778
2053,Chevron,Boulevard General Rodolfo Sánchez Taboada,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22000
2054,,Avenida Via Gustavo Baz,,Tlalnepantla,Tlalnepantla de Baz,Estado de México,MX-MEX,54764
2055,Pemex,Agua Blanca,,Guadalupe,Guadalupe,Nuevo León,MX-NLE,67150
2056,,Boulevard Juan Sabines,,San Cristóbal de las Casas,San Cristóbal de las Casas,Chiapas,MX-CHP,29200
2057,PEMEX,Carretera Reynosa-Ciudad Río Bravo,,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2058,,Predio de Los Arroyos,,Durango,Municipio de Durango,Durango,MX-DUR,34287
2059,,Boulevard Ramos Arizpe,,,Ramos Arizpe,Coahuila,MX-COA,
2060,Pemex,Calle Vialidad Los Nogales,,Chihuahua,Municipio de Chihuahua,Chihuahua,MX-CHH,31137
2061,,,,,Tonaya,Jalisco,MX-JAL,48760
2062,Akrontech,Carretera Tijuana-Rosarito,,,Municipio de Tijuana,Baja California,MX-BCN,22670
2063,Gulf,Avenida Diego Díaz de Berlanga,,San Nicolás de los Garza,San Nicolás de los Garza,Nuevo León,MX-NLE,66443
2064,Chevron,Calle Salvador Díaz Mirón,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22050
2065,,Carretera Saltillo-Monterrey,,,Santa Catarina,Nuevo León,MX-NLE,66360
2066,Chevron,Boulevard Cuauhtémoc Sur,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22045
2067,Petro Seven,Avenida Coahuila,,,Guadalupe,Nuevo León,MX-NLE,67255
2068,,Boulevard Doctor Jesús Valdez Sánchez,,Saltillo,Saltillo,Coahuila,MX-COA,25297
2069,Coco Bongo,Calle Central,,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2070,,Carretera Libre Colima - Manzanillo,Nuevo Cuyutlán,,Manzanillo,Colima,MX-COL,28880
2071,Pemex,Calzada de Tlalpan,,,,Ciudad de México,MX-CMX,
2072,Pemex,Boulevard Adolfo Ruiz Cortines,,,,Ciudad de México,MX-CMX,
2073,,Calle Santos Degollado,,Los Mochis,Ahome,Sinaloa,MX-SIN,81293
2074,,COAH 105,,,Saltillo,Coahuila,MX-COA,25300
2075,,Supercarretera Zacatecas-Aguascalientes,,,Pabellón de Arteaga,Aguascalientes,MX-AGU,20666
2076,Pemex,Libramiento Sur Poniente,,Tuxtla Gutiérrez,Tuxtla Gutiérrez,Chiapas,MX-CHP,29019
2077,,Calle Ignacio Zaragoza,,,Ahome,Sinaloa,MX-SIN,
2078,,Via Corta a Morelia,,,Nicolás Romero,Estado de México,MX-MEX,54435
2079,,Circuito Exterior Mexiquense,,,Nextlalpan,Estado de México,MX-MEX,05820
2080,,SIN 112,,,Ahome,Sinaloa,MX-SIN,
2081,Petro,Boulevard Miguel Hidalgo y Costilla,,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2082,,Boulevard Arco Vial,,Apodaca,Apodaca,Nuevo León,MX-NLE,66600
2083,,Avenida General Ramón Corona,,Zapopan,Zapopan,Jalisco,MX-JAL,45201
2084,,Avenida Convención de 1914 Norte,,Aguascalientes,Municipio de Aguascalientes,Aguascalientes,MX-AGU,20020
2085,Chevron,Boulevard Juan José Torres Landa,,León,León,Guanajuato,MX-GUA,37480
2086,Pemex,Calle Novena,,Mexicali,,Baja California,MX-BCN,21000
2087,Pemex,Carretera Libre Tijuana-Tecate,,,Municipio de Tijuana,Baja California,MX-BCN,22110
2088,Peme E09981,Calle Hacienda Oriente,,,Municipio de Juárez,Chihuahua,MX-CHH,32696
2089,,Calle Tiburón,,Manzanillo,Manzanillo,Colima,MX-COL,28200
2090,,Avenida de las Bombas,,,Ecatepec de Morelos,Estado de México,MX-MEX,55066
2091,pemex,Avenida Reforma,,Ensenada,Municipio de Ensenada,Baja California,MX-BCN,22895
2092,,Boulevard Juan de Dios Bátiz,,Los Mochis,Ahome,Sinaloa,MX-SIN,81259
2093,,Atlacomulco - Morelia,,,Indaparapeo,Michoacán,MX-MIC,
2094,,Evangelina Caballero,,General Escobedo,General Escobedo,Nuevo León,MX-NLE,66053
2095,PEMEX,Calle Francisco Márquez,,Tepic,Municipio de Tepic,Nayarit,MX-NAY,63030
2096,,Avenida Constitución De 1857,,,Tultitlán,Estado de México,MX-MEX,549131
2097,Pemex,Calzada Héctor Terán Terán,,Mexicali,,Baja California,MX-BCN,21000
2098,Mobil,Cerrada López Portillo,,,,Estado de México,MX-MEX,55706
2099,PEMEX,Avenida Tecnológico,,Tepic,Municipio de Tepic,Nayarit,MX-NAY,63193
2100,,Avenida Miguel Alemán,,San Nicolás de los Garza,San Nicolás de los Garza,Nuevo León,MX-NLE,66478
2101,,Autopista Colima - Manzanillo,,,Municipio de Colima,Colima,MX-COL,28640
2102,Universidad del Desarrollo Profesional S.C. (Unidad Tijuana),Boulevard Gustavo Díaz Ordaz,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22115
2103,,Carretera a Dulces Nombres,,Apodaca,Apodaca,Nuevo León,MX-NLE,66647
2104,Chevron,Calle Estado 29,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22104
2105,Bocenas Internet,Avenida Juarez,,,San Blas,Nayarit,MX-NAY,63774
2106,Pemex,Avenida Aguascalientes Norte,,Aguascalientes,Municipio de Aguascalientes,Aguascalientes,MX-AGU,20350
2107,Pemex,Calle Ignacio Allende,,Ciudad Acuña,Municipio de Acuña,Coahuila,MX-COA,26200
2108,,,,Torreón,Torreón,Coahuila,MX-COA,27275
2109,,Calle Gabriel López,,,San José de Gracia,Aguascalientes,MX-AGU,20576
2110,,SIN 124,,Los Mochis,Ahome,Sinaloa,MX-SIN,81293
2111,Pemex,Boulevard Miguel Hidalgo y Costilla,Residencial Loma Bonita,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2112,Pemex,Avenida Adolfo Ruiz Cortinez,,Ciudad Adolfo Lopez Mateos,Atizapán de Zaragoza,Estado de México,MX-MEX,52970
2113,Chevron,Boulevard Gustavo Díaz Ordaz,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22100
2114,,Los Amoles,,Guadalupe,Guadalupe,Nuevo León,MX-NLE,66634
2115,,Boulevard Licenciado Gustavo Díaz Ordaz,,,Ramos Arizpe,Coahuila,MX-COA,25900
2116,,Calle Monsanto,,Matamoros,Municipio de Matamoros,Tamaulipas,MX-TAM,87351
2117,Oxxo Gas,Boulevard Adolfo López Mateos,,León,León,Guanajuato,MX-GUA,37260
2118,PEMEX,Autopista México - Morelia,,,Zinapécuaro,Michoacán,MX-MIC,
2119,,Avenida Coahuila,,,Juárez,Nuevo León,MX-NLE,67193
2120,,Avenida de los Nogales,,Heroica Nogales,Municipio de Nogales,Sonora,MX-SON,84063
2121,Petro 7,Boulevard Licenciado Gustavo Díaz Ordaz,,Monterrey,Monterrey,Nuevo León,MX-NLE,64650
2122,,Carretera San Miguel,,Apodaca,Apodaca,Nuevo León,MX-NLE,66648
2123,,Calzada Miguel Hidalgo,,Silao,Silao de la Victoria,Guanajuato,MX-GUA,36122
2124,Chevron,Calle Benito Juárez,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,4110
2125,,Calle Monclova,,Monclova,Monclova,Coahuila,MX-COA,25700
2126,,Calle Bordo de Defensa Norte,,Piedras Negras,Municipio de Piedras Negras,Coahuila,MX-COA,26085
2127,7-Eleven,Calle Monterrey,,General Escobedo,General Escobedo,Nuevo León,MX-NLE,66053
2128,,Avenida Paseo del Guaycura,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22216
2129,Colegio Bilingi�e Contemporaneo,Avenida Venustiano Carranza,,Mexicali,,Baja California,MX-BCN,21259
2130,,Avenida de las Industrias,,Chihuahua,Municipio de Chihuahua,Chihuahua,MX-CHH,31350
2131,Chevron,Avenida Paseo a Playas de Tijuana,,,Municipio de Tijuana,Baja California,MX-BCN,22506
2132,,,,Los Mochis,Ahome,Sinaloa,MX-SIN,81248
2133,,Aguascalientes Oriente,,Aguascalientes,Municipio de Aguascalientes,Aguascalientes,MX-AGU,20190
2134,PEMEX,Boulevard Tepic - Xalisco,,Tepic,Municipio de Tepic,Nayarit,MX-NAY,63158
2135,,Carretera Monterrey-Ciudad Victoria,Aquiles Serdán,Ciudad Victoria,Victoria,Tamaulipas,MX-TAM,87027
2136,PEMEX,Avenida Ignacio Sandoval,,Colima,Municipio de Colima,Colima,MX-COL,28010
2137,Pemex,Avenida Insurgentes,,,Ecatepec de Morelos,Estado de México,MX-MEX,55076
2138,7-Eleven,Calle Los Fundadores,,Saltillo,Saltillo,Coahuila,MX-COA,25297
2139,,Callejón León Felipe,,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2140,,,,,Melchor Ocampo,Estado de México,MX-MEX,54880
2141,,Calle Manuel Gómez Morín,,Mexicali,,Baja California,MX-BCN,21000
2142,Pemex,Boulevard Valle Escondido,,Ciudad Adolfo Lopez Mateos,Atizapán de Zaragoza,Estado de México,MX-MEX,54054
2143,PEMEX,Libramiento Cuernavaca,,Cuernavaca,Cuernavaca,Morelos,MX-MOR,62460
2144,Pemex,Calzada de los Héroes,,,Dolores Hidalgo Cuna de la Independencia Nacional,Guanajuato,MX-GUA,37804
2145,,Calle Gama,,Saltillo,Saltillo,Coahuila,MX-COA,25250
2146,,Calle Borrajas,,Monterrey,Monterrey,Nuevo León,MX-NLE,64100
2147,Petro Seven,Avenida Juan Montemayor,,San Nicolás de los Garza,San Nicolás de los Garza,Nuevo León,MX-NLE,66490
2148,Gasolinera,Carretera Nacional,Lazarillos de Abajo,,Allende,Nuevo León,MX-NLE,67350
2149,,Periférico Luis Donaldo Colosio Murrieta,,Heroica Nogales,Municipio de Nogales,Sonora,MX-SON,84066
2150,Pemex,Boulevard Miguel Hidalgo y Costilla,Residencial Loma Bonita,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2151,,Boulevard Zincamex,,Saltillo,Saltillo,Coahuila,MX-COA,25210
2152,Petro 7,Avenida Nogalar Sur,,San Nicolás de los Garza,San Nicolás de los Garza,Nuevo León,MX-NLE,64510
2153,,Circuito Abarrotes y Víveres,,,,Ciudad de México,MX-CMX,09040
2154,Servicio Malpaso,Carretera Tecpatan - Malpaso,,,Tecpatán,Chiapas,MX-CHP,29600
2155,Chevron,Calzada Defensores de Baja California,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22406
2156,,,,Manzanillo,Manzanillo,Colima,MX-COL,28200
2157,Pemex CorpoGas San Miguel Ajusco,Calle Miguel Hidalgo,,,,Ciudad de México,MX-CMX,14700
2158,,20 de Noviembre,,Puerto Vallarta,Puerto Vallarta,Jalisco,MX-JAL,48300
2159,,Carretera Uriangato-Valle de Santiago,,,Yuriria,Guanajuato,MX-GUA,38946
2160,,Avenida Venustiano Carranza,,San Luis Río Colorado,San Luis Río Colorado,Sonora,MX-SON,83400
2161,,Calle Benito Juárez,,Saltillo,Saltillo,Coahuila,MX-COA,25050
2162,Pemex,Calle Tamazula,,Gómez Palacio,Gómez Palacio,Durango,MX-DUR,27140
2163,,Avenida Insurgentes,,,Tezontepec de Aldama,Hidalgo,MX-HID,42764
2164,Chevron,Prolongación Vía Rápida Oriente,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22128
2165,,Avenida 10 de Abril,,Cuernavaca,Cuernavaca,Morelos,MX-MOR,62460
2166,Pemex,Boulevard Cuauhtémoc Sur Oriente,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22044
2167,Pemex,Calzada Rodolfo Sánchez Taboada,,Mexicali,,Baja California,MX-BCN,21000
2168,Pemex E09686,Boulevard Ingeniero Bernardo Norzagaray,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,32100
2169,Pemex,Avenida Mariano Otero,,Zapopan,Zapopan,Jalisco,MX-JAL,45070
2170,,,,,Tarímbaro,Michoacán,MX-MIC,
2171,Pemex E09468,Boulevard División del Norte,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,32380
2172,,,,Ciudad del Carmen,Carmen,Campeche,MX-CAM,24100
2173,,Avenida Cascada Salto,,,,Baja California,MX-BCN,21600
2174,Pemex,Calzada Heroica Puebla,,,,Baja California,MX-BCN,21600
2175,,Calle Rinconada de las Espigas,,Gómez Palacio,Gómez Palacio,Durango,MX-DUR,35070
2176,Pemex,Avenida Doctor Gustavo Baz Prada,,Naucalpan,Naucalpan de Juárez,Estado de México,MX-MEX,53580
2177,Petro Seven,Lateral Avenida del Teléfono,,Apodaca,Apodaca,Nuevo León,MX-NLE,66645
2178,Petro-7,Avenida Sendero Norte,,San Nicolás de los Garza,San Nicolás de los Garza,Nuevo León,MX-NLE,66636
2179,,Calle Juan Álvarez,,Colima,Municipio de Colima,Colima,MX-COL,28000
2180,,Boulevard Luis Donaldo Colosio,,Tepic,Municipio de Tepic,Nayarit,MX-NAY,63180
2181,Petro 7,Avenida Miguel Alemán,,Apodaca,Apodaca,Nuevo León,MX-NLE,66600
2182,,Carretera México-Texcoco,,,Ecatepec de Morelos,Estado de México,MX-MEX,55060
2183,,Calle José de Escandón y Helguera,,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2184,,Carretera Ixtapa Puerto Vallarta,,,Puerto Vallarta,Jalisco,MX-JAL,18290
2185,,,,Los Mochis,Ahome,Sinaloa,MX-SIN,81293
2186,Pemex,Avenida San Andrés,,,Ecatepec de Morelos,Estado de México,MX-MEX,55520
2187,,Calle Bella Vista,,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2188,,Avenida Miguel Hidalgo,,Cuautitlán Izcalli,Cuautitlán Izcalli,Estado de México,MX-MEX,54760
2189,,Calle Julio Verne,Residencial Santa Barbara,Torreón,Torreón,Coahuila,MX-COA,27400
2190,Mobil,Vía Morelos,,,Ecatepec de Morelos,Estado de México,MX-MEX,55547
2191,Pemex,Boulevard Adolfo López Mateos,,Ciudad Madero,Ciudad Madero,Tamaulipas,MX-TAM,89460
2192,Chevron,Boulevard Antônio Madrazo Gutiérrez,,León,León,Guanajuato,MX-GUA,37204
2193,,Avenida San Gabriel,,Aguascalientes,Municipio de Aguascalientes,Aguascalientes,MX-AGU,20263
2194,7-Eleven,Avenida Nuevo Las Puentes,,Apodaca,Apodaca,Nuevo León,MX-NLE,66612
2195,,Calzada de la Quinta,,San Cristóbal de las Casas,San Cristóbal de las Casas,Chiapas,MX-CHP,29200
2196,Estación de servicio la Rioja Est.11557,Camino A España,,,Zumpango,Estado de México,MX-MEX,55603
2197,,Boulevard Centenario de Torreón,,Saltillo,Saltillo,Coahuila,MX-COA,25297
2198,,Avenida Licenciado Manuel Ordóñez,,,Santa Catarina,Nuevo León,MX-NLE,66358
2199,Pemex,Boulevard Los Fundadores,,,Arteaga,Coahuila,MX-COA,22350
2200,Pemex E04179,Avenida Hermanos Escobar,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,32310
2201,Petro 7,Avenida Orquídea,,Apodaca,Apodaca,Nuevo León,MX-NLE,66647
2202,,Calle 48 Poniente,,Cancún,Benito Juárez,Quintana Roo,MX-ROO,77538
2203,7-Eleven,Avenida Adolfo Ruíz Cortínes,,Monterrey,Monterrey,Nuevo León,MX-NLE,64170
2204,,Cerrada El Realito,,Guadalupe,Guadalupe,Nuevo León,MX-NLE,67140
2205,,MEX 190,,,Frontera Comalapa,Chiapas,MX-CHP,
2206,Gasolinera San Pedro,Boulevard Timoteo Lozano,,León,León,Guanajuato,MX-GUA,37570
2207,,Calle Circunvalación Oriente,,,El Grullo,Jalisco,MX-JAL,48740
2208,,Avenida Insurgentes,,Tepic,Municipio de Tepic,Nayarit,MX-NAY,63150
2209,,Libramiento Norte de La Paz,,La Paz,Municipio de La Paz,Baja California Sur,MX-BCS,23054
2210,Pemex,Calle Antigua Carretera a San Pedro,,Torreón,Torreón,Coahuila,MX-COA,27059
2211,,Cerro del mercado,,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2212,Akron,Boulevard Agua Caliente,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22000
2213,Chevron,Boulevard Manuel J. Clouthier,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22570
2214,,Carretera México-Pachuca,,Ecatepec,Ecatepec de Morelos,Estado de México,MX-MEX,55066
2215,Pemex 9823,Centenario,,Los Mochis,Ahome,Sinaloa,MX-SIN,81248
2216,Bp,Calle 5 de Febrero,,La Paz,Municipio de La Paz,Baja California Sur,MX-BCS,23060
2217,Petro Seven,Avenida Luis Donaldo Colosio Murrieta,,Monterrey,Monterrey,Nuevo León,MX-NLE,64100
2218,Repsol,Carretera Tapachula-Arriaga,,,Tapachula,Chiapas,MX-CHP,30823
2219,PEMEX,Avenida Licenciado Adolfo López Mateos,,San Nicolás de los Garza,San Nicolás de los Garza,Nuevo León,MX-NLE,66490
2220,Chevron,Calle Periférico,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22536
2221,Pemex,Calzada Abelardo L. Rodriguez,,Mexicali,,Baja California,MX-BCN,21000
2222,Pemex,Carretera San Felipe-Mexicali,,Mexicali,,Baja California,MX-BCN,21000
2223,Chevron,Boulevard Cucapah,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22203
2224,,Calle Jardines de la Primavera,,Apodaca,Apodaca,Nuevo León,MX-NLE,66612
2225,,Calle 3 Norte,,,Municipio de Tijuana,Baja California,MX-BCN,22444
2226,Pemex,Carretera Benemérito de las Américas-La Trinitaria,Santa Rita la Frontera,,Benemérito de las Américas,Chiapas,MX-CHP,
2227,,Ciclovía Oriente-Poniente,,Saltillo,Saltillo,Coahuila,MX-COA,25210
2228,Petro Seven,Avenida Licenciado Raúl Salinas Lozano,,General Escobedo,General Escobedo,Nuevo León,MX-NLE,66055
2229,,,,,Reforma,Chiapas,MX-CHP,
2230,,Avenida Comandante Alfonso Esquer,,Mexicali,,Baja California,MX-BCN,21000
2231,Pemex,Libramiento de Ocozocoautla,,,Ocozocoautla de Espinosa,Chiapas,MX-CHP,29140
2232,,Villas del Parque,,General Escobedo,General Escobedo,Nuevo León,MX-NLE,66055
2233,,Avenida Puerto Juárez Poniente,,Cancún,Benito Juárez,Quintana Roo,MX-ROO,77538
2234,Pemex,Carretera Benemérito de las Américas-La Trinitaria,,,Benemérito de las Américas,Chiapas,MX-CHP,
2235,Mobil,Calle Ignacio Pichardo Eje 8,,,,Estado de México,MX-MEX,55713
2236,,Privada Jiutepec,,,Jiutepec,Morelos,MX-MOR,62564
2237,,Carretera Tepic-Puerto Vallarta,,,Compostela,Nayarit,MX-NAY,63727
2238,,Blvd. Central,,Guasave,Guasave,Sinaloa,MX-SIN,81020
2239,,Boulevard Fundadores,,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2240,Car-gas,Calle Adelia,,,,Baja California,MX-BCN,21326
2241,,Boulevard Río Fuerte,,Los Mochis,Ahome,Sinaloa,MX-SIN,81200
2242,,Calle 20,,,Calkiní,Campeche,MX-CAM,24902
2243,Pemex,Avenida Cristóbal Colón,,Guadalajara,,Jalisco,MX-JAL,44910
2244,Pemex,Lateral Paseo de los Leones,,Monterrey,Monterrey,Nuevo León,MX-NLE,64620
2245,PEMEX,Avenida Tecnológico,,Tepic,Municipio de Tepic,Nayarit,MX-NAY,63195
2246,,Boulevard Poseidon,,Los Mochis,Ahome,Sinaloa,MX-SIN,81249
2247,Pemex,Boulevard Venustiano Carranza,,Saltillo,Saltillo,Coahuila,MX-COA,25206
2248,,Boulevard Libramiento Manuel Pérez Treviño,,Piedras Negras,Municipio de Piedras Negras,Coahuila,MX-COA,26085
2249,Pemex E05674,Calle Domingo de Allende,,Chihuahua,Municipio de Chihuahua,Chihuahua,MX-CHH,31125
2250,Pemex E07662,Noche Triste,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,32160
2251,Pemex 7110,Carretera Libre Tijuana-Tecate,,Tecate,Municipio de Tecate,Baja California,MX-BCN,21447
2252,,Calzada de los Monarcas,,Mexicali,,Baja California,MX-BCN,21000
2253,Pemex,Avenida Prados,,,Tultitlán,Estado de México,MX-MEX,54930
2254,,Boulevard Centenario,,Los Mochis,Ahome,Sinaloa,MX-SIN,81260
2255,Petro Seven,Avenida Prolongación Adolfo Ruíz Cortines,,Monterrey,Monterrey,Nuevo León,MX-NLE,64100
2256,Chevron,Calle De Las Aguas,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22205
2257,PEMEX,Carretera Tepic-Puerto Vallarta,,,Bahía de Banderas,Nayarit,MX-NAY,
2258,,Benjamín Hill,,,Guasave,Sinaloa,MX-SIN,
2259,,Boulevard N. Municipio Libre,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,32040
2260,Chevron,Calzada Heróico Colegio Militar,,Mexicali,,Baja California,MX-BCN,21000
2261,petro 7,Heberto Castillo Martínez,,,García,Nuevo León,MX-NLE,66003
2262,Pemex,Encuentro de Maravatío,,Morelia,Morelia,Michoacán,MX-MIC,58130
2263,7-Eleven,Calle La Palma,,,Arteaga,Coahuila,MX-COA,22350
2264,,Boulevard Miguel Hidalgo,,,Múzquiz,Coahuila,MX-COA,26350
2265,Pemex,Boulevard Miguel Alemán,,Ciudad Lerdo,Lerdo,Durango,MX-DUR,35157
2266,,Calle 55,COL. ELECTRICISTAS,Ciudad del Carmen,Carmen,Campeche,MX-CAM,24100
2267,,Calle Cuitlahuac,,,,Ciudad de México,MX-CMX,07000
2268,Chevron,Avenida Aquiles Serdán,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22400
2269,,Callejón Pemex,,Tuxtla Gutiérrez,Tuxtla Gutiérrez,Chiapas,MX-CHP,29057
2270,Pemex,Calle Presidente Emilio Portes Gil,,Tecate,Municipio de Tecate,Baja California,MX-BCN,21470
2271,Petro Seven,Avenida Universidad,,San Nicolás de los Garza,San Nicolás de los Garza,Nuevo León,MX-NLE,66059
2272,,,,,,Ciudad de México,MX-CMX,09040
2273,,Calle Jaime Bravo,,La Paz,Municipio de La Paz,Baja California Sur,MX-BCS,23054
2274,Petro-Seven,MEX 97,,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2275,Pemex,Boulevard Cucapah,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22214
2276,Pemex 7407,Lateral 18,,Los Mochis,Ahome,Sinaloa,MX-SIN,81220
2277,,,,,Bahía de Banderas,Nayarit,MX-NAY,13098
2278,,Calle Doctor Mier,,,Santiago,Nuevo León,MX-NLE,67300
2279,Pemex,Periférico Ejército Mexicano,,Gómez Palacio,Gómez Palacio,Durango,MX-DUR,35070
2280,Petro Seven,Avenida Benito Juárez,,Torreón,Torreón,Coahuila,MX-COA,27083
2281,,Gaspar Castaño,,Apodaca,Apodaca,Nuevo León,MX-NLE,66648
2282,Pemex,Carretera Monclova-San Buenaventura,,,Frontera,Coahuila,MX-COA,
2283,,Hidalgo,,Ciudad Victoria,Victoria,Tamaulipas,MX-TAM,87078
2284,Petro Seven,Boulevard Miguel de la Madrid,,Guadalupe,Guadalupe,Nuevo León,MX-NLE,67116
2285,Chevron,Avenida Francisco I. Madero,,Mexicali,,Baja California,MX-BCN,21000
2286,,Boulevard Licenciado Gustavo Díaz Ordaz,,Monterrey,Monterrey,Nuevo León,MX-NLE,64650
2287,Pemex,Carretera México-Pachuca,,,Ecatepec de Morelos,Estado de México,MX-MEX,55056
2288,,Carretera Huajumbaro-San José,,,Álvaro Obregón,Michoacán,MX-MIC,58920
2289,,Avenida Roberto de la Madrid,,,Municipio de Tijuana,Baja California,MX-BCN,22644
2290,Petro Seven,Avenida Calzada Unión,,San Nicolás de los Garza,San Nicolás de los Garza,Nuevo León,MX-NLE,67129
2291,PEMEX,Lateral Paseo Miguel de la Madrid Hurtado,,Colima,Municipio de Colima,Colima,MX-COL,28000
2292,PEMEX,Periférico Libramiento,,Tepic,Municipio de Tepic,Nayarit,MX-NAY,63117
2293,,Boulevard Centenario,,Los Mochis,Ahome,Sinaloa,MX-SIN,81270
2294,Total,Avenida Paseo de la Reforma,,Ciudad de México,,Ciudad de México,MX-CMX,11000
2295,,Carretera Punta de Mita,,,Bahía de Banderas,Nayarit,MX-NAY,13098
2296,,Boulevard Luis Donaldo Colosio,,Saltillo,Saltillo,Coahuila,MX-COA,25205
2297,,Carretera Entronque Playa Azul-Manzanillo,,,Tecomán,Colima,MX-COL,
2298,Pemex,MEX 190,,,Frontera Comalapa,Chiapas,MX-CHP,
2299,La Dolce Vitta,Avenida Ignacio Allende,,Torreón,Torreón,Coahuila,MX-COA,27148
2300,Chevron,Carretera Libre Tecate-Mexicali,,,Municipio de Tecate,Baja California,MX-BCN,21400
2301,Petro-7,Avenida María Concepción Barragán,,Apodaca,Apodaca,Nuevo León,MX-NLE,66636
2302,PEMEX,Aldama,,,Tlajomulco de Zuñiga,Jalisco,MX-JAL,45645
2303,Pemex,Boulevard Miguel Hidalgo y Costilla,,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2304,,Del Prado,,,Municipio de Tijuana,Baja California,MX-BCN,22170
2305,,Avenida Nueva Tepeyac,,Morelia,Morelia,Michoacán,MX-MIC,58250
2306,Pemex E10220,Calle Barranco Azul,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,32674
2307,Chevron,Boulevard Gustavo Díaz Ordaz,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22100
2308,,Federico Gamboa,,Ensenada,Municipio de Ensenada,Baja California,MX-BCN,22895
2309,,Calle Flamingos,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22035
2310,Pemex CorpoGas Santo Tomas Ajusco,Camino Viejo al Maninal,,,,Ciudad de México,MX-CMX,
2311,,Calzada Adolfo López Mateos,,Los Mochis,Ahome,Sinaloa,MX-SIN,81223
2312,,,,,Municipio de Nava,Coahuila,MX-COA,26170
2313,,Calle Rufino Tamayo,,Saltillo,Saltillo,Coahuila,MX-COA,25253
2314,Pertro Seven,Carretera Monterrey - Saltillo,,,Santa Catarina,Nuevo León,MX-NLE,66358
2315,Pemex,Boulevard General Santiago Vidaurri,,Mexicali,,Baja California,MX-BCN,21000
