place_id,amenity,road,hamlet,city,county,state,ISO3166-2-lvl4,postcode
11169,,,,Irapuato,Irapuato,Guanajuato,MX-GUA,36835
11170,,Avenida Doctor Pedro Loyola,,Ensenada,Municipio de Ensenada,Baja California,MX-BCN,22800
11171,BP,Avenida Benito Juarez,,Tecate,Municipio de Tecate,Baja California,MX-BCN,21448
11172,Pemex,Circuito Colonias,,Mérida,Mérida,Yucatán,MX-YUC,97199
11173,,MEX 180,Cerro Los Metates,,Actopan,Veracruz,MX-VER,
11174,,San Bernardino - Tepexpan,,,Atenco,Estado de México,MX-MEX,56300
11175,Total,Carretera Federal México-Puebla,,,Huejotzingo,Puebla,MX-PUE,74160
11176,,Avenida 5 de Febrero,,,Municipio de Querétaro,Querétaro,MX-QUE,76100
11177,,Avenida Tláhuac,,,,Ciudad de México,MX-CMX,13440
11178,,Carretera Internacional a Huixtla,,,Amatenango del Valle,Chiapas,MX-CHP,
11179,Las Olas Del Vay Ven,Calle Carretera Palenque-Ruinas,,,Palenque,Chiapas,MX-CHP,29960
11180,Pemex,Avenida 20 de Noviembre,,Durango,Municipio de Durango,Durango,MX-DUR,34000
11181,,México 45,,,León,Guanajuato,MX-GUA,37683
11182,,,,,Puerto Morelos,Quintana Roo,MX-ROO,77586
11183,Pemex,Calzada de la Viga,,,,Ciudad de México,MX-CMX,
11184,Orsan,Carretera Federal 186,,,Centro,Tabasco,MX-TAB,
11185,BP,Carretera México-Pachuca,,,Ecatepec de Morelos,Estado de México,MX-MEX,50066
11186,"Gasolinera ""Super Servicio de las Huastecas""",Calle Salvador Díaz Mirón,,,Pánuco,Veracruz,MX-VER,93995
11187,Shell,Avenida Cristóbal Colón,,Guadalajara,,Jalisco,MX-JAL,44950
11188,,Carretera Los Reyes Jacona Norte,,,Tocumbo,Michoacán,MX-MIC,59980
11189,Pemex,MEX 190,,Tuxtla Gutiérrez,Tuxtla Gutiérrez,Chiapas,MX-CHP,29044
11190,Pemex,Avenida Niños Héroes,,Guadalajara,,Jalisco,MX-JAL,44190
11191,Pemex,Ramal a Coyutla,Oriente Medio Dia,,Espinal,Veracruz,MX-VER,93140
11192,,Calle Sierra de Michoacán,,Morelia,Morelia,Michoacán,MX-MIC,58250
11193,Mobil,Autopista de Peaje Querétaro-Celaya,,,Corregidora,Querétaro,MX-QUE,76930
11194,Gasolinera Coperativa,Calle del Pescador,,Torreón,Torreón,Coahuila,MX-COA,27289
11195,,Avenida Periodismo,,Morelia,Morelia,Michoacán,MX-MIC,58130
11196,Pemex,Avenida Francisco I Madero Poniente,,Morelia,Morelia,Michoacán,MX-MIC,58170
11197,Pollo Feliz,Supercarretera Queretaro-México,,,El Marqués,Querétaro,MX-QUE,76240
11198,,,,Morelia,Morelia,Michoacán,MX-MIC,58110
11199,,,,,Culiacán,Sinaloa,MX-SIN,
11200,Pemex,Periférico Independencia,,Morelia,Morelia,Michoacán,MX-MIC,58089
11201,,Exhacienda de Quinceo,,Morelia,Morelia,Michoacán,MX-MIC,58110
11202,Pemex,Boulevard Playa del Carmen,,Playa del Carmen,,Quintana Roo,MX-ROO,77717
11203,Pemex,Avenida Fuentes de Morelia,,Morelia,Morelia,Michoacán,MX-MIC,58089
11204,,Calle Melchor Ocampo,,Tlalnepantla,Tlalnepantla de Baz,Estado de México,MX-MEX,54015
